,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Oil & Gas,Consumer Goods
540,0.12280909771149293,0.1753254949599819,0.043809634252852225,0.06903532477203307,0.24401639166448413,0.25751434359019404,0.17668048879242101
1080,0.1389930018578826,0.3533413997871019,0.19687570888797717,0.12220886416466938,0.04175857747699443,0.1743504734171072,0.1661496974650064
1620,0.2516276193684591,0.2636433431681367,0.7326623575484302,0.14272853532974722,0.2621153390681574,0.20330352234090715,0.26967191654934153
2160,0.09161726281192425,0.15880153237559563,0.5067090260352873,0.6752046591386328,0.20425307901663176,0.2237216363101592,0.3919477889956513
2700,0.1332698461774678,0.13842414364326433,0.16678625239030218,0.32748764271988745,0.0717302175555658,0.12844449751542542,0.16702247183190122
3240,0.09956537348311817,0.11488835693097911,0.25047535703149465,0.449825836591318,0.21659604361131085,0.1356499751256039,0.13467943437707527
3780,0.08133902007972772,0.3108724743015778,0.07080374665996636,0.21696609212688678,0.32269419648980924,0.07458351563693717,0.13084319954667664
4320,0.08009272067203071,0.24268851752383896,0.132279421272005,0.02384820138169076,0.09760994582609187,0.06671012438750942,0.08693750553623109
4860,0.06894724618897406,0.2921813176806441,0.04777322723050994,0.5602675513694536,0.23107327159995092,0.037077417016260966,0.03157035830741989
5400,0.1820886387503887,0.10647660968824353,0.047106783659332616,0.24215938121860237,0.13129257238541223,0.1402596346193981,0.09107439993518843
