,Industrials,Basic Materials,Financials,Consumer Services,Utilities,Oil & Gas,Consumer Goods
540,0.1013037117053911,0.28467284834467727,0.10465204152984085,0.08848291227956488,0.15038056867790714,0.1949529496029777,0.13515795245039572
1080,0.41898089268016114,0.4371791704892238,0.016498465492493657,0.17579938233985612,0.11867428042527688,0.13239957717540068,0.2765933725569996
1620,0.21892129446767244,0.3612103804236197,0.30876250273016087,0.5297582552468771,0.047251080140921733,0.3252152083977726,0.318496598195392
2160,0.1580836590985998,0.11581026343759546,0.38218204258454874,0.09161795218422174,0.10071486018767714,0.03713069111409245,0.06115588475911416
2700,0.05065063825591685,0.10140122315214364,0.07648744734743373,0.21603532038606768,0.07924090146768362,0.025457394410840842,0.10997727112774333
3240,0.1913001695877596,0.05642669981156674,0.1654455797319836,0.22108153372289413,0.4503063564122495,0.032946001979567055,0.13974023914866687
3780,0.6677629885884196,0.02649821061107102,0.24751015029863635,0.0680051656497143,0.09203049891850394,0.19907892113643824,0.3758627684189432
4320,0.06969297158815398,0.12593125891732013,0.04063289812115547,0.2963235358104374,0.21636049382279668,0.14309420439630915,0.2710874368993753
4860,0.06486537305868385,0.1724836324951463,0.08508874255270826,0.3059288132382538,0.2518346416279219,0.4211205514332669,0.006832014452495708
5400,0.2723211077703004,0.12278026042535031,0.2931274609687039,0.034620900746942546,0.8053214068868735,0.06785780083484766,0.5655781538353134
