,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Consumer Goods
540,0.3943162615066753,0.04646776243327526,0.13209133576872417,0.2111885472085473,0.12716824601503623,0.06496435547800193,0.10723383072482356
1080,0.3680397175798109,0.33463451868653565,0.6353512117602089,0.2773078937846078,0.5629904100981485,0.3825424837997105,0.2398450375516505
1620,0.507564111751607,0.2023846304658967,0.4916519421192647,0.39230318836564076,0.5634655837628457,0.17376044056055573,0.19168816677632353
2160,0.21087098583288333,0.10640549338450647,0.34563152123309,0.11139114740721398,0.4295855732004684,0.17529914403739064,0.5097460229492887
2700,0.04968912905499069,0.060586069753356744,0.13760791354142132,0.12002581686982779,0.2028207721852076,0.08782396326828357,0.12975018670509558
3240,0.15846666265628875,0.12795649212611743,0.10939688599480776,0.1085417003556099,0.21910533111937763,0.02154402292714573,0.17329029612607014
3780,0.11965276613060766,0.06048325687320113,0.2527432174260222,0.22509352895556575,0.21377812437811786,0.032207331627433146,0.266899613105163
4320,0.06123773240562555,0.06933993883945863,0.6073991214105613,0.03869544148781741,0.03441255311701136,0.034972994808775484,0.03871236461542145
4860,0.031506570159331664,0.07358919182764131,0.13800712006553242,0.10751224441034903,0.2367962935591998,0.2113187773360193,0.2656994166096456
5400,0.016285126406387695,0.17979536009125663,0.20701652877673846,0.19126857394112123,0.20528091888302874,0.014109869063022591,0.21267855643769046
